emp_no,first_name,last_name,from_date,to_date
10988,Chinya,Deyuan,1985-06-19,9999-01-01
10989,Sumali,Candan,1991-07-20,9999-01-01
10989,Sumali,Candan,1985-07-20,1991-07-20
10990,Shin,Foote,1990-08-06,9999-01-01
11009,Alper,Axelband,1993-09-09,9999-01-01
11009,Alper,Axelband,1986-09-09,1993-09-09
11012,Taegyun,Speckmann,1996-07-06,9999-01-01
11019,Leon,Huttel,1992-05-24,1997-05-24
11019,Leon,Huttel,1997-05-24,9999-01-01
11021,Srinidhi,Henders,1998-02-02,9999-01-01
11027,Remzi,Cappello,1986-05-07,1991-05-07
11027,Remzi,Cappello,1991-05-07,1996-05-06
11027,Remzi,Cappello,1996-05-06,9999-01-01
11028,Miyeon,Krider,1986-06-18,1991-06-18
11028,Miyeon,Krider,1991-06-18,1997-09-04
11031,Ottavia,Walstra,1993-10-24,9999-01-01
11031,Ottavia,Walstra,1985-10-24,1993-10-24
11037,Lansing,Maliniak,1988-01-28,1995-01-28
11037,Lansing,Maliniak,1995-01-28,9999-01-01
11038,Jinya,Beidas,1992-07-15,9999-01-01
11038,Jinya,Beidas,1985-07-15,1992-07-15
11042,Gou,Breugel,1993-06-21,2000-06-21
11042,Gou,Breugel,2000-06-21,9999-01-01
11048,Jaques,Demke,1999-05-27,9999-01-01
11050,Elvis,Katiyar,1991-05-06,9999-01-01
11050,Elvis,Katiyar,1986-05-06,1991-05-06
11051,Przemyslawa,Erol,1991-03-27,2000-03-26
11051,Przemyslawa,Erol,2000-03-26,9999-01-01
11070,Adib,Raney,1985-07-24,1991-07-24
11070,Adib,Raney,1991-07-24,9999-01-01
11081,Barry,Boyle,1994-06-17,9999-01-01
11081,Barry,Boyle,1985-06-17,1994-06-17
11085,Hailing,Thummel,1996-02-10,9999-01-01
11100,Berna,Cochrane,1993-10-13,9999-01-01
11100,Berna,Cochrane,1986-10-13,1993-10-13
11106,Aris,Iwayama,1985-08-31,1991-08-31
11106,Aris,Iwayama,1991-08-31,1997-08-30
11106,Aris,Iwayama,1997-08-30,9999-01-01
11110,Valeska,Birjandi,1987-11-14,1992-03-30
11112,Boaz,Mukaidono,1995-04-28,9999-01-01
11113,Shahab,Peng,1991-11-30,9999-01-01
11113,Shahab,Peng,1985-11-30,1991-11-30
11121,Vugranam,Kakkad,1992-10-31,1999-11-01
11121,Vugranam,Kakkad,1999-11-01,9999-01-01
11133,Nalini,Azulay,1994-03-06,9999-01-01
11134,Sachar,Rajcani,1993-05-19,2002-05-19
11134,Sachar,Rajcani,2002-05-19,9999-01-01
11137,Hugh,Luca,1995-03-16,9999-01-01
11139,Bogdan,Homond,1995-05-11,9999-01-01
11139,Bogdan,Homond,1990-05-11,1995-05-11
11146,Ishfaq,Masand,1997-08-21,9999-01-01
11146,Ishfaq,Masand,1991-08-22,1997-08-21
11148,Zhanqiu,Botman,1997-02-08,9999-01-01
11148,Zhanqiu,Botman,1990-02-08,1997-02-08
11162,Kauko,Narlikar,1985-03-28,1990-03-28
11162,Kauko,Narlikar,1990-03-28,9999-01-01
11180,Mitsuyuki,Bojadziev,1986-06-11,1992-06-10
11180,Mitsuyuki,Bojadziev,1992-06-10,9999-01-01
11197,Tadahiro,Fordan,1989-09-12,9999-01-01
11203,Sakthirel,Yetto,1996-01-06,1996-06-15
11203,Sakthirel,Yetto,1988-01-06,1996-01-06
11204,Diederik,Covnot,1985-09-18,9999-01-01
11207,Saeed,Gips,1999-01-31,9999-01-01
11208,Saniya,Valtorta,1994-11-17,9999-01-01
11211,Yurij,Rissland,1985-09-17,9999-01-01
11217,Kellie,Mawatari,1990-03-11,9999-01-01
11232,Hidefumi,Crelier,2000-08-01,9999-01-01
11232,Hidefumi,Crelier,1994-08-02,2000-08-01
11240,Kiam,Condotta,1989-01-06,1997-01-06
11240,Kiam,Condotta,1997-01-06,9999-01-01
11249,Randi,Cyre,1986-09-22,1994-09-22
11249,Randi,Cyre,1994-09-22,9999-01-01
11251,Bezalel,Chinal,1993-06-15,9999-01-01
11251,Bezalel,Chinal,1986-06-15,1993-06-15
11268,Aimee,Petersohn,1987-10-25,1995-10-25
11268,Aimee,Petersohn,1995-10-25,9999-01-01
11275,Hitomi,Eppinger,1989-04-25,1998-04-25
11275,Hitomi,Eppinger,1998-04-25,9999-01-01
11290,Visit,Dredge,1999-05-13,9999-01-01
11291,Gino,Glowinski,1985-10-20,2001-04-15
11295,Abdelkader,Lanzelotte,1990-05-15,9999-01-01
11295,Abdelkader,Lanzelotte,1985-05-15,1990-05-15
11319,Pranas,Marrakchi,1998-11-01,9999-01-01
11320,Atilio,McAlpine,1998-04-06,9999-01-01
11320,Atilio,McAlpine,1990-04-06,1998-04-06
11322,Nathalie,Pocchiola,1985-07-07,1992-07-07
11322,Nathalie,Pocchiola,1992-07-07,1999-07-08
11322,Nathalie,Pocchiola,1999-07-08,9999-01-01
11324,Kauko,Billingsley,1985-08-29,9999-01-01
11338,Kwangsub,Hanratty,1998-10-28,9999-01-01
11339,Flemming,Massonet,1989-12-19,9999-01-01
11347,Anneli,Jonsson,1986-04-20,1992-04-19
11347,Anneli,Jonsson,1992-04-19,9999-01-01
11365,Toshimi,Shinomoto,1997-12-18,9999-01-01
11376,Valery,Suomi,1994-03-14,9999-01-01
11376,Valery,Suomi,1986-03-14,1994-03-14
11380,Kenroku,Pelc,1991-04-19,1996-04-18
11380,Kenroku,Pelc,1996-04-18,2001-04-18
11380,Kenroku,Pelc,2001-04-18,9999-01-01
11385,Shiv,Ullian,1999-08-08,9999-01-01
11386,Alselm,Assaf,1987-11-30,1993-11-29
11386,Alselm,Assaf,1993-11-29,9999-01-01
11393,Junsik,Junot,1985-04-30,1992-04-30
11393,Junsik,Junot,1992-04-30,9999-01-01
11398,Oscar,Peir,2001-09-07,9999-01-01
11398,Oscar,Peir,1994-09-07,2001-09-07
11404,Bedrich,Borovoy,1990-09-25,9999-01-01
11415,Sanjiv,Anido,1996-12-07,9999-01-01
11421,Josyula,Msuda,1986-09-02,1995-09-02
11421,Josyula,Msuda,1995-09-02,9999-01-01
11431,Youngkon,Picht,1991-09-16,2001-03-03
11431,Youngkon,Picht,1985-09-16,1991-09-16
11441,Marlo,Aingworth,1987-03-27,9999-01-01
11449,Kotesh,Asser,1995-02-03,2000-02-03
11449,Kotesh,Asser,2000-02-03,9999-01-01
11459,Duke,Suomi,1992-05-02,9999-01-01
11459,Duke,Suomi,1986-05-03,1992-05-02
11461,Kish,Cronau,1986-08-19,1992-08-18
11461,Kish,Cronau,1992-08-18,1997-07-20
11469,Guttorm,Giaccio,1994-09-08,1999-09-08
11469,Guttorm,Giaccio,1999-09-08,9999-01-01
11477,Fox,Narahari,1996-07-28,1996-09-12
11501,Karsten,Ranum,1999-10-24,2002-03-20
11501,Karsten,Ranum,1991-10-24,1999-10-24
11506,Rance,Picel,1996-04-08,9999-01-01
11509,Aleksander,Feldhoffer,1987-11-12,1992-11-11
11509,Aleksander,Feldhoffer,1992-11-11,9999-01-01
11513,Otmar,Mahnke,1998-08-25,9999-01-01
11513,Otmar,Mahnke,1992-08-25,1998-08-25
11515,Ulf,Basawa,1998-09-21,9999-01-01
11518,Jinxi,Oxman,1999-09-22,9999-01-01
11518,Jinxi,Oxman,1994-09-22,1999-09-22
11524,Xiadong,Standera,1996-07-05,9999-01-01
11527,Alagu,Boyle,1999-01-28,9999-01-01
11528,Zito,Dolinsky,1987-06-15,9999-01-01
11537,DAIDA,Pehl,1986-07-06,9999-01-01
11554,Subhash,Taubenfeld,1998-07-15,9999-01-01
11555,Kotesh,Perfilyeva,1991-10-14,9999-01-01
11555,Kotesh,Perfilyeva,1986-10-14,1991-10-14
11562,Rimli,Alencar,1988-06-30,1994-12-13
11567,Teiji,Mitzlaff,1996-02-03,9999-01-01
11567,Teiji,Mitzlaff,1988-02-03,1996-02-03
11568,Martins,Fujisaki,1992-03-13,2000-03-13
11568,Martins,Fujisaki,2000-03-13,9999-01-01
11578,Edwin,Rosti,1985-11-22,1991-11-22
11578,Edwin,Rosti,1991-11-22,2002-02-17
11588,Kaijung,Panangaden,1994-12-24,1995-06-12
11603,Herb,Swen,1994-04-13,9999-01-01
11603,Herb,Swen,1985-04-13,1994-04-13
11607,Tomokazu,Foong,1995-04-19,9999-01-01
11615,Shem,Isaak,2000-08-28,9999-01-01
11615,Shem,Isaak,1991-08-29,2000-08-28
11624,Adil,Gammage,1989-07-15,1996-07-15
11624,Adil,Gammage,1996-07-15,9999-01-01
11628,Fan,Malinowski,1988-10-23,1997-10-23
11628,Fan,Malinowski,1997-10-23,9999-01-01
11640,Valeri,Coorg,1988-09-26,9999-01-01
11647,Magy,Nitsche,1988-05-11,1993-05-11
11647,Magy,Nitsche,1993-05-11,9999-01-01
11660,Gill,Stenning,1994-11-22,9999-01-01
11660,Gill,Stenning,1986-11-22,1994-11-22
11673,Henk,Felder,1989-06-10,9999-01-01
11676,Valeri,Ferriere,1998-07-15,9999-01-01
11681,Fumitake,Benzmuller,1988-08-27,1995-08-28
11681,Fumitake,Benzmuller,1995-08-28,9999-01-01
11684,Oksana,Gide,1995-02-21,9999-01-01
11684,Oksana,Gide,1986-02-21,1995-02-21
11696,Dante,Rothe,1994-10-23,9999-01-01
11696,Dante,Rothe,1985-10-23,1994-10-23
11705,Arve,Hofmeyr,1990-10-30,1994-06-30
11705,Arve,Hofmeyr,1985-10-30,1990-10-30
11732,Sanjoy,Ranft,1996-12-22,9999-01-01
11735,Amalendu,Picci,1997-07-14,9999-01-01
11735,Amalendu,Picci,1988-07-14,1997-07-14
11738,Tadahiro,Lichtman,1986-06-19,1992-06-18
11738,Tadahiro,Lichtman,1992-06-18,1995-06-27
11746,Koichi,Marrakchi,1995-11-18,9999-01-01
11746,Koichi,Marrakchi,1988-11-17,1995-11-18
11747,Aksel,Kossowski,1993-02-20,1999-01-16
11747,Aksel,Kossowski,1986-02-20,1993-02-20
11751,Jiafu,Emiris,1993-11-03,9999-01-01
11751,Jiafu,Emiris,1988-11-03,1993-11-03
11764,Sanjay,Anick,1991-12-16,1996-12-15
11764,Sanjay,Anick,1996-12-15,9999-01-01
11769,Chandrasekaran,Lampe,2001-10-22,9999-01-01
11769,Chandrasekaran,Lampe,1993-10-22,2001-10-22
11772,Gaurav,Penz,1999-11-07,9999-01-01
11797,Chenxi,Thambidurai,1996-08-30,9999-01-01
11797,Chenxi,Thambidurai,1988-08-30,1996-08-30
11805,Rosine,Grandbois,1985-09-01,1991-02-05
11810,Amabile,Bhattacharjee,1992-01-05,9999-01-01
11813,Gita,Muhlberg,1987-03-16,1991-07-20
11817,Niranjan,Markovitch,1993-04-12,9999-01-01
11817,Niranjan,Markovitch,1986-04-12,1993-04-12
11832,Arto,Zlotek,1996-02-04,9999-01-01
11838,Taiji,Nitta,1986-07-11,1991-05-09
11844,Shawna,Demeyer,1988-01-27,1995-01-27
11844,Shawna,Demeyer,1995-01-27,9999-01-01
11853,Zeljko,Kusakabe,1996-11-17,9999-01-01
11853,Zeljko,Kusakabe,1988-11-17,1996-11-17
11857,Divier,Farrag,1986-08-27,9999-01-01
11864,Pradeep,Kriebel,1995-11-02,9999-01-01
11871,Nalini,Sommen,1993-10-13,1998-10-13
11871,Nalini,Sommen,1998-10-13,9999-01-01
11872,Cheong,Riexinger,2002-02-12,9999-01-01
11872,Cheong,Riexinger,1994-02-12,2002-02-12
11883,Nectarios,Bhattacharjee,1988-04-16,1990-10-28
11894,Mitchel,Validov,1988-06-22,9999-01-01
11897,Cordelia,Setlzner,1997-06-16,9999-01-01
11897,Cordelia,Setlzner,1988-06-16,1997-06-16
11906,Hideo,Boguraev,1999-02-07,9999-01-01
11915,Miomir,Mawatari,1992-06-28,2001-06-28
11915,Miomir,Mawatari,2001-06-28,9999-01-01
11931,Gunilla,Chiodo,2000-01-13,9999-01-01
11931,Gunilla,Chiodo,1991-01-13,2000-01-13
11933,Basil,Erman,1987-06-13,1992-06-12
11933,Basil,Erman,1992-06-12,9999-01-01
11949,Martijn,Harbusch,1985-03-11,9999-01-01
11983,Jaana,Hedayat,1986-10-11,1994-10-11
11983,Jaana,Hedayat,1994-10-11,9999-01-01
11987,Vidya,Schaar,1994-10-17,1997-12-04
11987,Vidya,Schaar,1988-10-17,1994-10-17
11988,Chinya,Chinin,1985-11-03,1990-11-03
11988,Chinya,Chinin,1990-11-03,2001-12-31
11993,Marit,Dalphin,1996-10-22,9999-01-01
12011,Zhilian,Coorg,1997-07-22,9999-01-01
12011,Zhilian,Coorg,1988-07-22,1997-07-22
12025,Jaewoo,Heiserman,1985-02-28,1990-06-09
12033,Visit,Serot,1997-11-30,1999-02-07
12036,Mads,Ratzlaff,1995-09-05,9999-01-01
12036,Mads,Ratzlaff,1986-09-05,1995-09-05
12037,Arunas,Katzenelson,1992-09-30,9999-01-01
12037,Arunas,Katzenelson,1986-10-01,1992-09-30
12050,Yuchang,Tchuente,1989-04-01,1996-04-01
12050,Yuchang,Tchuente,1996-04-01,9999-01-01
12052,Masako,Khasidashvili,1986-04-07,1988-08-29
12062,Margareta,Worfolk,1996-01-04,9999-01-01
12069,Ayonca,Burnard,1985-05-13,1990-05-13
12069,Ayonca,Burnard,1990-05-13,1995-05-13
12069,Ayonca,Burnard,1995-05-13,9999-01-01
12070,Ger,Shokrollahi,1988-11-14,9999-01-01
12076,Karlis,Siprelle,1985-03-25,9999-01-01
12082,Xinan,Yamaashi,1992-01-29,9999-01-01
12082,Xinan,Yamaashi,1986-01-29,1992-01-29
12087,Weijing,Jumpertz,1986-08-16,1993-03-24
12089,Bilhanan,Socorro,1994-10-22,9999-01-01
12089,Bilhanan,Socorro,1986-10-22,1994-10-22
12099,Nobuyoshi,Kuzuoka,1999-02-15,9999-01-01
12099,Nobuyoshi,Kuzuoka,1994-02-15,1999-02-15
12103,Becky,Erie,1990-04-23,1992-09-18
12112,Satyanarayana,Avouris,1997-09-26,9999-01-01
12112,Satyanarayana,Avouris,1989-09-26,1997-09-26
12122,Satoru,Krone,1987-07-24,1992-07-23
12122,Satoru,Krone,1992-07-23,9999-01-01
12123,Xiahua,Syrzycki,1994-07-18,9999-01-01
12123,Xiahua,Syrzycki,1987-07-18,1994-07-18
12125,Shounak,Erman,1997-03-31,9999-01-01
12128,Yannik,Barreiro,1997-08-16,1998-11-25
12149,Suebskul,Grandbois,1988-10-01,9999-01-01
12159,Shem,Perly,1985-07-17,9999-01-01
12165,Xiaobin,Maquelin,1994-08-29,9999-01-01
12173,Adel,Nanard,1998-09-20,2000-05-20
12183,Harngdar,Iisaku,1998-04-04,9999-01-01
12192,Feiyu,Klyachko,1986-09-02,1991-09-02
12192,Feiyu,Klyachko,1991-09-02,9999-01-01
12205,Sushant,Rossi,1987-11-11,9999-01-01
12206,Barton,Janetzko,1985-03-27,1993-03-27
12206,Barton,Janetzko,1993-03-27,2001-03-27
12206,Barton,Janetzko,2001-03-27,9999-01-01
12218,Yaghout,Strooper,1991-03-12,2000-03-11
12218,Yaghout,Strooper,2000-03-11,9999-01-01
12221,Vincent,Melter,1985-09-16,1991-09-16
12221,Vincent,Melter,1991-09-16,9999-01-01
12222,Abdelwaheb,Holburn,1996-08-14,9999-01-01
12222,Abdelwaheb,Holburn,1987-08-15,1996-08-14
12223,Niteen,Koyama,1986-08-13,1995-08-13
12223,Niteen,Koyama,1995-08-13,9999-01-01
12247,Subbu,Penttonen,1985-04-09,9999-01-01
12249,Eldridge,Sadowski,1987-06-21,1996-06-20
12249,Eldridge,Sadowski,1996-06-20,9999-01-01
12254,Chaitali,Stafford,1988-12-23,1989-10-31
12256,Guadalupe,Reghbati,1992-08-26,9999-01-01
12256,Guadalupe,Reghbati,1985-08-26,1992-08-26
12264,Mart,Pagter,1998-01-09,9999-01-01
12270,Shakhar,Kornyak,1996-08-19,9999-01-01
12270,Shakhar,Kornyak,1989-08-19,1996-08-19
12272,Behnaam,Grandbois,1992-12-07,9999-01-01
12272,Behnaam,Grandbois,1987-12-08,1992-12-07
12274,Garnik,Papadias,1988-04-01,1989-01-18
12276,Yongmin,Lenart,1993-06-13,2001-06-13
12276,Yongmin,Lenart,2001-06-13,2001-09-25
12303,Godehard,Braccini,1988-06-13,1988-07-19
12308,Mototsugu,Cronau,1991-08-11,9999-01-01
12308,Mototsugu,Cronau,1985-08-11,1991-08-11
12311,Susanne,Lubachevsky,1985-10-22,9999-01-01
12312,Chenye,Velasco,1988-11-24,1994-11-24
12312,Chenye,Velasco,1994-11-24,1996-12-18
12327,DAIDA,Bruckman,1986-10-16,1992-10-15
12327,DAIDA,Bruckman,1992-10-15,9999-01-01
12335,Arnould,Genin,1995-12-01,2000-06-19
12341,Rasiah,Luga,1985-05-25,1990-05-25
12341,Rasiah,Luga,1990-05-25,9999-01-01
12343,Sorina,Slaats,1997-08-25,9999-01-01
12343,Sorina,Slaats,1988-08-25,1997-08-25
12365,Kamakshi,Bisiani,1988-09-12,1994-09-12
12365,Kamakshi,Bisiani,1994-09-12,9999-01-01
12373,Mooi,Driscoll,1993-11-11,9999-01-01
12395,Sanjit,Felder,1995-06-05,9999-01-01
12399,Mihalis,Luga,1996-12-06,9999-01-01
12399,Mihalis,Luga,1987-12-07,1996-12-06
12411,Shao,Ibel,1991-08-17,9999-01-01
